state,population
Alabama,5025369
Alaska,733395
Arizona,7158110
Arkansas,3011553
California,39555674
Colorado,5775324
Connecticut,3607701
Delaware,989955
Florida,21538192
Georgia,10713755
Hawaii,1455252
Idaho,1839140
Illinois,12821814
Indiana,6786587
Iowa,3190546
Kansas,2937745
Kentucky,4506302
Louisiana,4657874
Maine,1363196
Maryland,6181629
Massachusetts,7033132
Michigan,10079338
Minnesota,5706692
Mississippi,2961278
Missouri,6154854
Montana,1084216
Nebraska,1961996
Nevada,3105595
New Hampshire,1377546
New Jersey,9289014
New Mexico,2117555
New York,20203772
North Carolina,10441499
North Dakota,779046
Ohio,11799453
Oklahoma,3959405
Oregon,4237224
Pennsylvania,13002909
Rhode Island,1097354
South Carolina,5118252
South Dakota,886729
Tennessee,6912347
Texas,29149458
Utah,3271608
Vermont,643082
Virginia,8631388
Washington,7707586
West Virginia,1793736
Wisconsin,5894170
Wyoming,576844
